Title,Year,Runtime,Director,Genres,Rate,Votes
Hababam Sinifi,1975,87 min,Ertem Egilmez,"Comedy, Drama",9.4,34876.0
Um Sonho de Liberdade,1994,142 min,Frank Darabont,Drama,9.3,2185007.0
O Poderoso Chefao,1972,175 min,Francis Ford Coppola,"Crime, Drama",9.2,1505303.0
Batman: O Cavaleiro das Trevas,2008,152 min,Christopher Nolan,"Action, Crime, Drama",9.0,2168064.0
O Poderoso Chefao II,1974,202 min,Francis Ford Coppola,"Crime, Drama",9.0,1054198.0
Pulp Fiction: Tempo de Violencia,1994,154 min,Quentin Tarantino,"Crime, Drama",8.9,1716573.0
O Senhor dos Aneis: O Retorno do Rei,2003,201 min,Peter Jackson,"Adventure, Drama, Fantasy",8.9,1554377.0
A Lista de Schindler,1993,195 min,Steven Spielberg,"Biography, Drama, History",8.9,1140580.0
12 Homens e uma Sentenca,1957,96 min,Sidney Lumet,Drama,8.9,636731.0
Dag II,2016,135 min,Alper Caglar,"Action, Drama, War",8.9,102330.0
A Origem,2010,148 min,Christopher Nolan,"Action, Adventure, Sci-Fi",8.8,1916845.0
Clube da Luta,1999,139 min,David Fincher,Drama,8.8,1745292.0
Forrest Gump: O Contador de Historias,1994,142 min,Robert Zemeckis,"Drama, Romance",8.8,1684824.0
O Senhor dos Aneis: A Sociedade do Anel,2001,178 min,Peter Jackson,"Adventure, Drama, Fantasy",8.8,1566268.0
Tres Homens em Conflito,1966,161 min,Sergio Leone,Western,8.8,648269.0
Matrix,1999,136 min,Lana Wachowski,"Action, Sci-Fi",8.7,1573299.0
O Senhor dos Aneis: As Duas Torres,2002,179 min,Peter Jackson,"Adventure, Drama, Fantasy",8.7,1403137.0
"Star Wars, Episodio V: O Imperio Contra-Ataca",1980,124 min,Irvin Kershner,"Action, Adventure, Fantasy",8.7,1097514.0
Os Bons Companheiros,1990,146 min,Martin Scorsese,"Biography, Crime, Drama",8.7,949921.0
Um Estranho no Ninho,1975,133 min,Milos Forman,Drama,8.7,861818.0
Harakiri,1962,133 min,Masaki Kobayashi,"Action, Drama, History",8.7,29839.0
Interestelar,2014,169 min,Christopher Nolan,"Adventure, Drama, Sci-Fi",8.6,1370145.0
Seven: Os Sete Crimes Capitais,1995,127 min,David Fincher,"Crime, Drama, Mystery",8.6,1345094.0
O Silencio dos Inocentes,1991,118 min,Jonathan Demme,"Crime, Drama, Thriller",8.6,1185114.0
"Star Wars, Episodio IV: Uma Nova Esperanca",1977,121 min,George Lucas,"Action, Adventure, Fantasy",8.6,1169720.0
O Resgate do Soldado Ryan,1998,169 min,Steven Spielberg,"Drama, War",8.6,1158503.0
A Espera de um Milagre,1999,189 min,Frank Darabont,"Crime, Drama, Fantasy",8.6,1065162.0
Cidade de Deus,2002,130 min,Fernando Meirelles,"Crime, Drama",8.6,665444.0
Coringa,2019,122 min,Todd Phillips,"Crime, Drama, Thriller",8.6,640099.0
A Viagem de Chihiro,2001,125 min,Hayao Miyazaki,"Animation, Adventure, Family",8.6,585200.0
A Vida e Bela,1997,116 min,Roberto Benigni,"Comedy, Drama, Romance",8.6,578818.0
A Felicidade Nao se Compra,1946,130 min,Frank Capra,"Drama, Family, Fantasy",8.6,375106.0
Os Sete Samurais,1954,207 min,Akira Kurosawa,"Action, Adventure, Drama",8.6,295773.0
Parasita,2019,132 min,Bong Joon Ho,"Comedy, Crime, Drama",8.6,175968.0
Gladiador,2000,155 min,Ridley Scott,"Action, Adventure, Drama",8.5,1261525.0
Os Infiltrados,2006,151 min,Martin Scorsese,"Crime, Drama, Thriller",8.5,1117531.0
O Grande Truque,2006,130 min,Christopher Nolan,"Drama, Mystery, Sci-Fi",8.5,1108333.0
A Outra Historia Americana,1998,119 min,Tony Kaye,Drama,8.5,983705.0
De Volta para o Futuro,1985,116 min,Robert Zemeckis,"Adventure, Comedy, Sci-Fi",8.5,977852.0
O Profissional,1994,110 min,Luc Besson,"Action, Crime, Drama",8.5,967852.0
